,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,renovated_last_20,age
34,322500.0,4,2.75,2060,6659,1.0,0,0,3_Average,7_Average,0,34
35,696000.0,3,2.5,2300,3060,1.5,0,0,3_Average,8_Good,1,85
37,640000.0,4,2.0,2360,6000,2.0,0,0,4_Good,8_Good,0,111
38,240000.0,4,1.0,1220,8075,1.0,0,0,2_Fair,7_Average,0,46
39,605000.0,4,2.5,2620,7553,2.0,0,0,3_Average,8_Good,0,19
40,625000.0,4,2.5,2570,5520,2.0,0,0,3_Average,9_Better,0,15
41,775000.0,4,2.25,4220,24186,1.0,0,0,3_Average,8_Good,0,31
42,861990.0,5,2.75,3595,5639,2.0,0,0,3_Average,9_Better,0,1
43,685000.0,3,1.0,1570,2280,2.0,0,0,3_Average,7_Average,0,93
44,309000.0,3,1.0,1280,9656,1.0,0,0,4_Good,6_Low_Average,0,56
45,488000.0,3,2.5,3160,13603,2.0,0,0,3_Average,8_Good,0,12
46,210490.0,3,1.0,990,8528,1.0,0,0,3_Average,6_Low_Average,0,49
47,785000.0,4,2.5,2290,13416,2.0,0,0,4_Good,9_Better,0,34
48,450000.0,3,1.75,1250,5963,1.0,0,0,4_Good,7_Average,0,62
49,1350000.0,3,2.5,2753,65005,1.0,1,1,5_Very_Good,9_Better,0,62
50,228000.0,3,1.0,1190,9199,1.0,0,0,3_Average,7_Average,0,60
51,345000.0,5,2.5,3150,9134,1.0,0,0,4_Good,8_Good,0,49
52,600000.0,3,1.75,1410,4080,1.0,0,0,4_Good,7_Average,0,65
53,585000.0,2,1.75,1980,8550,1.0,0,0,3_Average,7_Average,0,34
54,920000.0,5,2.25,2730,6000,1.5,0,0,3_Average,8_Good,0,88
55,885000.0,4,2.5,2830,5000,2.0,0,0,3_Average,9_Better,0,20
56,292500.0,4,2.5,2250,4495,2.0,0,0,3_Average,7_Average,0,7
57,301000.0,3,2.5,2420,4750,2.0,0,0,3_Average,8_Good,0,12
58,951000.0,5,3.25,3250,14342,2.0,0,1,4_Good,8_Good,0,47
59,430000.0,4,3.0,1850,9976,2.0,0,0,3_Average,8_Good,0,24
60,650000.0,3,2.25,2150,21235,1.0,0,1,4_Good,8_Good,0,56
61,289000.0,3,1.75,1260,8400,1.0,0,0,3_Average,7_Average,0,61
62,505000.0,3,1.75,2519,8690,2.0,0,0,5_Very_Good,8_Good,0,42
63,549000.0,3,1.75,1540,1044,3.0,0,0,3_Average,8_Good,0,1
64,425000.0,3,2.25,1660,6000,1.0,0,0,3_Average,7_Average,0,36
65,317625.0,3,2.75,2770,3809,1.5,0,0,5_Very_Good,7_Average,0,90
66,975000.0,4,2.5,2720,11049,2.0,0,0,3_Average,10_Very_Good,0,26
67,287000.0,4,2.5,2240,4648,2.0,0,0,3_Average,7_Average,0,10
68,204000.0,3,1.0,1000,12070,1.0,0,0,4_Good,7_Average,0,47
69,1330000.0,5,2.25,3200,20158,1.0,0,0,3_Average,8_Good,0,50
70,1040000.0,5,3.25,4770,50094,1.0,0,0,4_Good,11_Excellent,0,42
71,325000.0,3,2.0,1260,5612,1.0,0,0,4_Good,7_Average,0,43
72,571000.0,4,2.0,2750,7807,1.5,0,0,5_Very_Good,7_Average,0,99
73,360000.0,4,2.5,2380,5000,2.0,0,0,3_Average,8_Good,0,10
74,349000.0,3,1.75,1790,50529,1.0,0,0,5_Very_Good,7_Average,0,50
75,832500.0,4,4.0,3430,35102,2.0,0,0,4_Good,10_Very_Good,0,29
76,380000.0,4,1.75,1760,7300,1.0,0,0,3_Average,7_Average,0,59
77,480000.0,3,1.0,1040,5060,1.0,0,0,3_Average,7_Average,0,74
78,410000.0,3,1.0,1410,5060,1.0,0,0,4_Good,7_Average,0,59
79,720000.0,4,2.5,3450,39683,2.0,0,0,3_Average,10_Very_Good,0,13
80,390000.0,3,2.5,2350,5100,2.0,0,0,3_Average,8_Good,0,12
81,360000.0,4,2.5,1900,5889,2.0,0,0,3_Average,7_Average,0,23
82,355000.0,2,1.0,2020,6720,1.0,0,0,3_Average,7_Average,0,67
83,356000.0,3,1.5,1680,8712,1.0,0,0,3_Average,8_Good,0,51
84,315000.0,3,1.0,960,6634,1.0,0,0,3_Average,6_Low_Average,0,63
85,940000.0,3,1.5,2140,3600,2.0,0,0,3_Average,9_Better,0,90
86,305000.0,5,2.25,2660,8400,1.5,0,0,5_Very_Good,7_Average,0,54
87,461000.0,3,3.25,2770,6278,2.0,0,0,3_Average,9_Better,0,9
88,215000.0,2,2.25,1610,2040,2.0,0,0,4_Good,7_Average,0,36
89,335000.0,2,1.75,1030,1066,2.0,0,0,3_Average,7_Average,0,9
90,243500.0,4,2.5,1980,7403,2.0,0,0,3_Average,7_Average,0,27
91,1100000.0,5,2.75,3520,6353,2.0,0,0,4_Good,10_Very_Good,0,14
92,153000.0,3,1.0,1200,10500,1.0,0,0,3_Average,7_Average,0,53
93,430000.0,3,1.5,1580,5000,1.0,0,0,3_Average,8_Good,0,76
94,700000.0,3,1.5,1580,5000,1.0,0,0,3_Average,8_Good,0,76
95,905000.0,4,2.5,3300,10250,1.0,0,0,3_Average,7_Average,0,69
96,247500.0,3,1.75,1960,15681,1.0,0,0,3_Average,7_Average,0,48
97,199000.0,4,1.5,1160,6400,1.0,0,0,4_Good,7_Average,0,40
98,314000.0,3,1.75,1810,41800,1.0,0,0,5_Very_Good,7_Average,0,35
99,437500.0,3,2.5,2320,36847,2.0,0,1,3_Average,9_Better,0,23
100,850830.0,3,2.5,2070,13241,1.5,0,0,5_Very_Good,9_Better,0,105
101,555000.0,3,2.0,1980,3478,1.5,0,0,4_Good,7_Average,0,86
102,699950.0,3,2.25,2190,107593,2.0,0,0,4_Good,8_Good,0,32
103,1090000.0,3,2.5,2920,8113,2.0,0,0,3_Average,8_Good,1,65
104,290000.0,3,1.0,1210,33919,1.0,0,0,3_Average,7_Average,0,61
105,375000.0,3,2.5,2340,10005,1.0,0,0,4_Good,8_Good,0,37
106,460000.0,3,1.0,1670,4005,1.5,0,0,4_Good,7_Average,0,76
107,188500.0,2,1.75,1240,2493,1.0,0,0,4_Good,8_Good,0,30
108,680000.0,4,2.5,3140,28037,2.0,0,0,4_Good,10_Very_Good,0,24
109,470000.0,5,1.75,2030,12342,2.0,0,0,4_Good,7_Average,0,73
110,597750.0,4,2.5,2310,9624,2.0,0,0,3_Average,8_Good,0,31
111,570000.0,3,1.75,1260,3328,1.0,0,0,5_Very_Good,6_Low_Average,0,110
112,272500.0,3,1.75,1540,12600,1.0,0,0,4_Good,7_Average,0,35
113,329950.0,3,1.75,2080,5969,1.0,0,1,3_Average,7_Average,0,44
114,480000.0,4,2.5,3230,16171,2.0,0,0,3_Average,9_Better,0,14
115,740500.0,3,3.5,4380,6350,2.0,0,0,3_Average,8_Good,0,115
116,518500.0,3,3.5,1590,1102,3.0,0,0,3_Average,8_Good,0,5
117,205425.0,2,1.0,880,6780,1.0,0,0,4_Good,6_Low_Average,0,70
118,171800.0,4,2.0,1570,9600,1.0,0,0,3_Average,6_Low_Average,0,65
119,535000.0,4,1.0,1610,2982,1.5,0,0,4_Good,7_Average,0,90
120,660000.0,3,2.5,2400,6474,1.0,0,1,3_Average,8_Good,0,51
121,391500.0,3,2.0,1450,9132,1.0,0,0,3_Average,7_Average,0,28
122,395000.0,2,1.0,770,6000,1.0,0,0,3_Average,6_Low_Average,0,62
123,445000.0,4,1.75,2100,4400,1.5,0,0,5_Very_Good,7_Average,0,91
124,770000.0,3,2.25,2910,10204,2.0,0,0,3_Average,9_Better,0,25
125,1450000.0,4,2.75,2750,17789,1.5,0,0,3_Average,8_Good,0,101
126,445000.0,3,2.25,2100,8201,1.0,0,1,3_Average,8_Good,0,48
127,260000.0,4,2.25,2160,8811,1.0,0,0,3_Average,8_Good,0,37
128,822500.0,5,3.5,2320,4960,2.0,0,0,5_Very_Good,7_Average,0,89
129,430000.0,4,2.5,2070,4310,2.0,0,0,3_Average,7_Average,0,11
130,212000.0,3,1.75,1060,7875,1.0,0,0,4_Good,7_Average,0,29
131,660500.0,4,2.25,2010,9603,1.0,0,0,3_Average,8_Good,0,29
132,784000.0,3,3.5,3950,111078,1.5,0,0,3_Average,9_Better,0,26
133,453246.0,3,2.5,2010,2287,2.0,0,0,3_Average,8_Good,0,1
134,675000.0,4,3.5,2140,2278,3.0,0,0,3_Average,9_Better,0,10
135,199000.0,3,1.75,1320,17390,1.0,0,0,4_Good,7_Average,0,59
136,220000.0,4,1.75,2020,7840,1.0,0,0,3_Average,7_Average,0,47
137,452000.0,4,2.25,2590,10002,1.0,0,0,4_Good,8_Good,0,47
138,382500.0,2,1.0,1190,4440,1.0,0,0,3_Average,6_Low_Average,0,34
139,519950.0,3,2.25,1170,1249,3.0,0,0,3_Average,8_Good,0,1
140,665000.0,2,1.0,1110,3200,1.0,0,0,3_Average,7_Average,0,90
141,527700.0,5,2.5,2820,9375,1.0,0,0,4_Good,8_Good,0,47
142,205000.0,3,1.0,1610,8579,1.0,0,0,4_Good,7_Average,0,53
143,420000.0,3,1.0,1060,8097,1.0,0,0,4_Good,7_Average,0,92
144,500000.0,4,2.25,2030,8517,1.0,0,0,4_Good,8_Good,0,54
145,921500.0,4,2.5,3670,315374,2.0,0,0,4_Good,9_Better,0,21
146,890000.0,4,1.0,2550,4000,2.0,0,0,3_Average,8_Good,0,110
147,430000.0,2,2.5,2420,60984,2.0,0,0,3_Average,7_Average,0,8
148,258000.0,5,2.0,2260,12500,1.0,0,0,4_Good,8_Good,0,55
149,511000.0,3,1.0,1430,3455,1.0,0,0,3_Average,7_Average,0,68
150,532170.0,3,2.0,1360,3090,2.0,0,0,3_Average,8_Good,0,25
151,560000.0,3,1.0,1110,5000,1.5,0,0,3_Average,7_Average,0,68
152,282950.0,3,1.0,1250,8200,1.0,0,0,4_Good,7_Average,0,61
153,2250000.0,4,3.25,5180,19850,2.0,0,1,3_Average,12_Luxury,0,9
154,350000.0,1,1.0,700,5100,1.0,0,0,3_Average,7_Average,0,73
155,215000.0,3,1.0,1180,7669,1.0,0,0,4_Good,7_Average,0,48
156,650000.0,5,3.5,3960,25245,2.0,0,0,3_Average,9_Better,0,19
157,320000.0,4,2.75,2640,7500,1.0,0,0,3_Average,8_Good,0,48
158,247000.0,3,2.0,1270,7198,1.5,0,0,3_Average,7_Average,1,99
159,320000.0,4,1.75,1760,11180,1.0,0,0,4_Good,8_Good,0,47
160,255000.0,5,2.25,2060,8632,1.0,0,0,3_Average,7_Average,0,53
161,438000.0,3,1.75,1780,9660,1.0,0,0,3_Average,7_Average,0,53
162,900000.0,3,2.5,3400,16603,2.0,0,0,3_Average,10_Very_Good,0,15
163,441000.0,3,2.75,1910,7280,1.0,0,0,3_Average,7_Average,0,36
164,420000.0,3,2.0,2020,38332,1.0,0,0,4_Good,7_Average,0,40
165,370000.0,3,1.75,1580,7000,1.0,0,0,3_Average,7_Average,0,39
166,269950.0,2,1.75,1340,7250,1.0,0,0,5_Very_Good,5_Fair,0,66
167,807100.0,4,2.5,2680,4499,2.0,0,0,3_Average,9_Better,0,16
168,653000.0,3,2.5,2680,9750,1.0,0,0,4_Good,8_Good,0,36
169,371500.0,3,2.0,1370,8336,1.0,0,0,5_Very_Good,7_Average,0,51
170,284000.0,3,1.75,1560,21000,1.0,0,0,3_Average,7_Average,0,61
171,272000.0,3,1.75,2160,7140,1.0,0,0,4_Good,7_Average,0,37
172,313000.0,3,1.5,1340,7912,1.5,0,0,3_Average,7_Average,0,60
173,917500.0,4,2.5,3880,35003,2.0,0,0,3_Average,10_Very_Good,0,31
174,673000.0,4,2.25,2590,8190,2.0,0,0,4_Good,8_Good,0,35
175,425000.0,3,2.5,1120,1100,2.0,0,0,3_Average,8_Good,0,7
176,399950.0,5,2.75,1970,5400,1.0,0,0,3_Average,7_Average,0,29
177,385000.0,3,1.0,1220,4800,1.0,0,0,3_Average,6_Low_Average,0,114
178,269950.0,3,1.5,1950,7560,1.0,0,1,4_Good,7_Average,0,40
179,330000.0,2,1.0,1350,8220,1.0,0,0,3_Average,7_Average,0,66
180,260000.0,3,2.5,1670,5797,2.0,0,0,3_Average,7_Average,0,27
181,470000.0,4,3.0,2380,5125,1.5,0,0,4_Good,7_Average,0,90
182,589000.0,4,3.0,2440,9600,2.0,0,0,5_Very_Good,7_Average,0,54
183,163500.0,2,1.5,1050,3419,2.0,0,0,3_Average,7_Average,0,19
184,835000.0,4,2.75,3130,13412,2.0,0,0,3_Average,9_Better,0,22
185,1100000.0,5,3.0,4090,12850,1.0,0,1,4_Good,10_Very_Good,0,29
186,269000.0,4,1.75,1490,10000,1.0,0,0,4_Good,8_Good,0,46
187,560000.0,3,2.5,1900,8744,2.0,0,0,3_Average,8_Good,0,28
188,615000.0,4,1.0,1330,2400,1.5,0,0,4_Good,6_Low_Average,0,114
189,585188.0,3,2.25,2230,10026,1.0,0,0,3_Average,8_Good,0,40
190,305000.0,3,1.75,1650,9480,1.0,0,0,3_Average,7_Average,0,38
191,166950.0,3,1.0,1190,8820,1.0,0,0,3_Average,6_Low_Average,0,56
192,799000.0,3,2.5,2140,9897,1.0,0,0,4_Good,8_Good,0,56
193,400000.0,3,2.5,2180,7508,1.0,0,0,4_Good,7_Average,0,53
194,230000.0,3,1.0,1060,10228,1.0,0,0,3_Average,7_Average,0,67
195,256883.0,3,2.5,1690,5025,2.0,0,0,3_Average,8_Good,0,12
196,423000.0,4,2.0,1970,6480,1.5,0,0,5_Very_Good,7_Average,0,95
197,465000.0,3,2.5,2150,4084,2.0,0,0,3_Average,8_Good,0,8
198,440000.0,3,2.5,1910,66211,2.0,0,0,3_Average,7_Average,0,18
199,385000.0,3,1.75,1350,155073,1.0,0,0,4_Good,7_Average,0,46
200,210000.0,3,1.0,860,11725,1.0,0,0,4_Good,6_Low_Average,0,72
201,297000.0,3,2.5,1940,14952,2.0,0,0,3_Average,8_Good,0,21
202,470000.0,3,1.0,1010,5000,1.0,0,0,3_Average,7_Average,0,63
203,226500.0,3,1.5,1300,7370,1.0,0,0,4_Good,7_Average,0,39
204,274250.0,3,1.0,910,8450,1.0,0,0,4_Good,6_Low_Average,0,53
205,840000.0,4,1.75,2480,11010,1.0,0,0,4_Good,9_Better,0,49
206,677900.0,3,2.5,2440,4587,2.0,0,0,3_Average,8_Good,0,5
207,425000.0,3,1.0,1010,5864,1.0,0,0,3_Average,7_Average,0,100
208,180250.0,2,0.75,900,9600,1.0,0,0,3_Average,6_Low_Average,0,74
209,464000.0,6,3.0,2300,3404,2.0,0,0,3_Average,7_Average,0,95
210,320000.0,4,2.25,1550,7579,2.0,0,0,3_Average,8_Good,0,22
211,625504.0,3,2.25,1270,1566,2.0,0,0,3_Average,8_Good,0,1
212,592500.0,4,2.5,2240,12032,1.0,0,0,3_Average,9_Better,0,32
213,465000.0,3,2.5,2714,17936,2.0,0,0,3_Average,9_Better,0,10
214,477000.0,4,2.75,1720,6270,2.0,0,0,3_Average,8_Good,0,37
215,280000.0,2,1.0,850,16400,1.0,0,0,3_Average,6_Low_Average,0,92
216,1510000.0,5,3.0,3300,33474,1.0,0,1,3_Average,9_Better,0,58
217,445838.0,3,2.5,2250,5692,2.0,0,0,3_Average,8_Good,0,15
218,1070000.0,2,2.25,3900,14864,1.0,0,1,3_Average,8_Good,0,68
219,467000.0,2,1.5,1320,10800,1.0,0,0,4_Good,8_Good,0,68
220,686000.0,4,2.5,2760,6440,2.0,0,0,3_Average,10_Very_Good,0,16
221,279950.0,3,2.0,1750,9750,1.0,0,0,3_Average,7_Average,0,54
222,527000.0,4,2.25,2330,19436,2.0,0,0,3_Average,8_Good,0,28
223,325000.0,3,2.25,2220,16020,1.0,0,0,4_Good,8_Good,0,49
224,328000.0,3,2.25,2020,8379,2.0,0,0,3_Average,7_Average,0,21
225,390000.0,3,2.25,1250,7500,1.0,0,0,5_Very_Good,7_Average,0,73
226,479950.0,2,2.0,1510,6516,1.0,0,0,3_Average,8_Good,0,10
227,264950.0,4,2.25,1720,9753,1.0,0,0,4_Good,7_Average,0,37
228,235000.0,3,1.0,1430,15246,1.0,0,0,4_Good,7_Average,0,54
229,516500.0,3,2.5,1480,4729,2.0,0,0,3_Average,7_Average,0,11
230,655000.0,2,1.75,1450,15798,2.0,1,1,3_Average,7_Average,0,100
231,500000.0,4,2.75,2280,15347,1.0,0,0,5_Very_Good,7_Average,0,55
232,315000.0,6,2.75,2940,7350,1.0,0,0,3_Average,8_Good,0,37
233,213000.0,2,1.0,1000,10200,1.0,0,0,3_Average,6_Low_Average,0,54
234,475000.0,3,1.5,2480,5280,1.5,0,0,5_Very_Good,7_Average,0,68
235,1030000.0,5,4.0,3760,28040,2.0,0,0,3_Average,10_Very_Good,0,32
236,416000.0,3,2.0,2220,94300,1.0,0,0,5_Very_Good,7_Average,0,39
237,410000.0,4,1.0,1970,4740,1.5,0,0,3_Average,7_Average,1,111
238,800000.0,3,3.5,3830,221284,2.0,0,0,3_Average,10_Very_Good,0,22
239,472000.0,6,2.5,4410,14034,1.0,0,1,4_Good,9_Better,0,50
240,225000.0,3,1.75,1430,8505,1.0,0,0,4_Good,7_Average,0,47
241,210000.0,2,1.0,830,6000,1.0,0,0,3_Average,6_Low_Average,0,75
242,455000.0,2,1.0,1430,5000,1.5,0,0,2_Fair,7_Average,0,90
243,225000.0,3,1.0,1300,8316,1.0,0,0,4_Good,6_Low_Average,0,61
244,480000.0,2,1.0,1030,3060,1.0,0,1,4_Good,7_Average,0,97
245,363000.0,3,2.5,2740,11872,2.0,0,0,3_Average,9_Better,0,25
246,2400000.0,4,2.5,3650,8354,1.0,1,1,3_Average,9_Better,0,15
247,181000.0,2,1.5,720,5120,1.0,0,0,3_Average,6_Low_Average,0,61
248,250000.0,4,2.0,2010,7312,1.0,0,0,4_Good,7_Average,0,39
249,481000.0,3,1.75,1560,3000,1.0,0,0,4_Good,6_Low_Average,0,97
250,260000.0,3,2.0,1810,7209,1.0,0,0,4_Good,7_Average,0,37
251,455000.0,4,2.5,3360,7685,2.0,0,0,3_Average,9_Better,0,14
252,415000.0,3,2.25,1510,36224,2.0,0,0,3_Average,8_Good,0,24
253,349500.0,3,1.0,1400,3538,1.0,0,0,3_Average,7_Average,0,62
254,245000.0,3,2.5,1730,7442,2.0,0,0,3_Average,7_Average,0,28
255,592500.0,2,2.0,1420,9191,1.5,0,1,5_Very_Good,7_Average,0,87
256,385000.0,4,1.75,2360,7620,1.0,0,0,4_Good,7_Average,0,60
257,315000.0,3,1.75,1580,11455,1.0,0,0,4_Good,7_Average,0,41
258,255000.0,3,1.0,1230,10170,1.0,0,0,3_Average,7_Average,0,36
259,693000.0,4,2.5,2460,4425,2.0,0,0,3_Average,8_Good,0,9
260,780000.0,3,1.0,1660,4400,1.5,0,0,3_Average,8_Good,0,104
261,237000.0,3,1.75,1270,8470,1.0,0,0,4_Good,7_Average,0,55
262,525000.0,3,2.25,2100,40510,2.0,0,0,3_Average,10_Very_Good,0,36
263,425000.0,2,1.0,770,5040,1.0,0,0,3_Average,5_Fair,0,85
264,369900.0,1,0.75,760,10079,1.0,1,1,5_Very_Good,5_Fair,0,79
265,290000.0,4,2.5,1700,7280,2.0,0,0,4_Good,7_Average,0,27
266,285000.0,3,1.0,1120,10701,1.0,0,0,3_Average,7_Average,0,61
267,415000.0,2,1.0,1070,4500,1.0,0,0,3_Average,7_Average,0,78
268,272500.0,3,2.5,2070,9900,1.0,0,0,3_Average,8_Good,0,36
269,2900000.0,4,3.25,5050,20100,1.5,0,1,3_Average,11_Excellent,0,33
271,436000.0,2,1.0,1040,7538,1.0,0,0,4_Good,7_Average,0,76
272,210000.0,3,1.0,1700,11390,1.0,0,0,4_Good,7_Average,0,48
273,236000.0,3,1.0,1300,5898,1.0,0,0,3_Average,7_Average,0,54
274,331000.0,3,1.75,1080,1306,1.0,0,0,3_Average,7_Average,1,61
275,365000.0,3,2.5,2653,4510,2.0,0,0,3_Average,8_Good,0,9
276,450000.0,3,2.0,2290,16258,1.0,0,0,5_Very_Good,8_Good,0,55
277,770000.0,4,2.75,3820,26300,2.0,0,0,3_Average,9_Better,0,1
278,455000.0,4,2.5,2210,49375,1.0,0,0,3_Average,8_Good,0,18
279,405000.0,3,1.75,2390,6000,1.0,0,0,3_Average,6_Low_Average,0,107
280,304900.0,4,1.75,2600,11325,1.0,0,0,4_Good,7_Average,0,46
281,170000.0,2,1.0,860,5265,1.0,0,0,3_Average,6_Low_Average,0,84
282,2050000.0,5,3.0,3830,8480,2.0,0,1,5_Very_Good,9_Better,0,110
283,780000.0,4,2.5,3500,7048,2.0,0,0,3_Average,9_Better,0,10
284,330000.0,3,3.0,2420,13959,1.0,0,0,4_Good,8_Good,0,27
285,370000.0,4,2.5,2720,8666,2.0,0,0,3_Average,9_Better,0,23
286,467000.0,5,2.25,2500,13500,1.0,0,0,3_Average,7_Average,0,36
287,405000.0,3,1.75,1670,6720,1.0,0,0,3_Average,7_Average,0,35
288,675000.0,5,2.25,2900,10300,1.0,0,0,3_Average,8_Good,0,30
289,500000.0,2,1.0,1640,14100,1.0,0,0,4_Good,7_Average,0,61
290,389999.0,4,2.5,1890,15770,2.0,0,0,4_Good,7_Average,0,47
291,630000.0,4,1.75,2950,9025,1.0,0,1,4_Good,8_Good,0,40
292,360000.0,4,2.5,2160,9528,2.0,0,0,3_Average,9_Better,0,23
293,580000.0,4,3.0,3280,11060,2.0,0,0,3_Average,8_Good,0,29
294,550000.0,3,2.0,1970,4166,2.0,0,1,5_Very_Good,8_Good,0,86
295,879000.0,4,2.5,3360,22111,2.0,0,0,3_Average,10_Very_Good,0,21
296,265000.0,3,2.0,1320,8959,1.0,0,0,3_Average,7_Average,0,22
297,446500.0,3,2.5,2650,7286,2.0,0,0,3_Average,8_Good,0,25
298,404000.0,3,1.5,2030,8880,1.0,0,0,3_Average,7_Average,0,52
299,267500.0,3,1.75,1590,11914,1.0,0,1,3_Average,7_Average,0,58
301,335000.0,3,2.5,2440,7632,2.0,0,0,3_Average,8_Good,0,17
302,576000.0,3,2.5,1940,9000,1.0,0,0,4_Good,7_Average,0,67
303,208633.0,3,2.5,2040,3810,2.0,0,0,3_Average,8_Good,0,9
304,315000.0,3,2.25,2200,8750,1.0,0,0,4_Good,7_Average,0,51
305,725000.0,3,1.75,1920,3300,1.0,0,0,4_Good,8_Good,0,102
306,550000.0,4,2.75,1800,7750,1.0,0,0,4_Good,8_Good,0,50
307,610750.0,4,2.25,2180,7297,2.0,0,0,3_Average,8_Good,0,31
308,550700.0,2,1.0,1010,5000,1.5,0,0,4_Good,6_Low_Average,0,107
309,665000.0,4,2.75,3320,10574,2.0,0,0,5_Very_Good,8_Good,0,55
310,834000.0,4,2.5,2370,4000,1.5,0,1,5_Very_Good,8_Good,0,87
311,201000.0,5,1.75,1660,78408,1.5,0,0,3_Average,6_Low_Average,0,100
312,2380000.0,5,2.5,3650,9050,2.0,0,1,5_Very_Good,10_Very_Good,0,94
313,1380000.0,4,3.25,4290,12103,1.0,0,1,3_Average,11_Excellent,0,18
314,1400000.0,4,3.25,4290,12103,1.0,0,1,3_Average,11_Excellent,0,18
315,305000.0,4,2.25,1950,7700,1.0,0,0,3_Average,8_Good,0,36
316,487000.0,3,2.0,2590,14052,1.0,0,0,5_Very_Good,8_Good,0,67
317,390000.0,3,2.5,1930,64904,1.0,0,0,4_Good,8_Good,0,27
318,548000.0,2,1.0,1470,3864,1.0,0,0,4_Good,7_Average,0,99
319,268750.0,4,1.0,800,8775,1.0,0,0,3_Average,6_Low_Average,0,72
320,819900.0,5,2.75,3150,7119,2.0,0,0,3_Average,9_Better,0,2
321,520000.0,3,2.25,2030,16200,2.0,0,0,3_Average,8_Good,0,31
322,230000.0,3,2.0,1450,11204,1.0,0,0,3_Average,7_Average,0,12
323,240000.0,3,1.75,1510,10248,1.0,0,0,3_Average,7_Average,0,46
324,232000.0,2,1.0,1240,12092,1.0,0,0,3_Average,6_Low_Average,0,93
325,240500.0,2,1.0,1240,12092,1.0,0,0,3_Average,6_Low_Average,0,93
326,274975.0,3,2.5,3030,45004,2.0,0,0,3_Average,9_Better,0,28
327,740000.0,4,2.0,2050,4400,1.5,0,0,4_Good,9_Better,0,93
328,186375.0,3,1.0,1000,7636,1.0,0,0,2_Fair,7_Average,0,63
329,790000.0,3,2.25,2370,10289,1.0,0,0,4_Good,9_Better,0,38
330,880000.0,4,3.5,2800,6750,2.0,0,0,3_Average,9_Better,1,64
331,279000.0,6,1.75,2240,11180,2.0,0,0,4_Good,7_Average,0,60
332,295000.0,3,2.0,1810,10530,1.0,0,1,3_Average,8_Good,0,24
333,640000.0,2,1.0,1070,5000,1.0,0,0,3_Average,7_Average,0,91
334,940000.0,4,2.0,2490,9525,2.0,0,0,5_Very_Good,9_Better,0,47
